alpha_deg,beta_deg,ax_m2,ay_m2,az_m2,bx_m3,by_m3,bz_m3
5.0,-25.0,-0.06618116899230987,0.026137457631633824,0.02482209020971356,0.0010926784780694665,0.008095559093817928,-0.0006928542285219625
5.0,-20.0,-0.06102621451277926,0.02719104781335597,0.029705762934217433,0.002119851007304687,0.005898359178435271,-0.00014890036723068026
5.0,-15.0,-0.05738501640328286,0.022217245981964402,0.031185495046284047,0.002484757137135267,0.004210775273390227,0.00011931326654515964
5.0,-10.0,-0.05646170049299232,0.011328296897480106,0.013621344120647635,0.000907774884412775,0.004163437472620869,0.0002709894162844106
5.0,-5.0,-0.061231174118561264,0.0009071719053883931,0.011204111533641793,-1.1024264004352855e-05,0.005422810446257829,0.0003165446969322581
5.0,-0.0,-0.053465374778562905,0.0,0.041138711297329954,0.0,0.003010295818829537,0.0
5.0,5.0,-0.061231174118561264,-0.0009071719053883931,0.011204111533641793,1.1024264004352855e-05,0.005422810446257829,-0.0003165446969322581
5.0,10.0,-0.05646170049299232,-0.011328296897480106,0.013621344120647635,-0.000907774884412775,0.004163437472620869,-0.0002709894162844106
5.0,15.0,-0.05738501640328286,-0.022217245981964402,0.031185495046284047,-0.002484757137135267,0.004210775273390227,-0.00011931326654515964
5.0,20.0,-0.06102621451277926,-0.02719104781335597,0.029705762934217433,-0.002119851007304687,0.005898359178435271,0.00014890036723068026
5.0,25.0,-0.06618116899230987,-0.026137457631633824,0.02482209020971356,-0.0010926784780694665,0.008095559093817928,0.0006928542285219625
10.0,-25.0,-0.07336404564067056,0.028701022709216997,0.0399239519968129,0.0016914528855437286,0.009065333137754957,-0.001070359144050196
10.0,-20.0,-0.0655428690285546,0.024820165100480587,0.04284948704288527,0.0014057346529216792,0.0059687679113131,-0.0004758765063141709
10.0,-15.0,-0.0654620074424697,0.017202287470172346,0.027008801832836094,0.0008919450892226673,0.005450282806976932,-0.00010536821894391638
10.0,-10.0,-0.06019833830804848,0.008032684161520308,0.020940260625929918,0.0002519519454450626,0.004078138355608092,0.0002766835573383156
10.0,-5.0,-0.06287956161454124,-0.0007456001358057612,0.01563245238756047,-0.0006987174686804583,0.00491821676776798,0.00045383618094843917
10.0,-0.0,-0.060105055604400784,0.0,0.03211980154863211,0.0,0.003581462191343432,0.0
10.0,5.0,-0.06287956161454124,0.0007456001358057612,0.01563245238756047,0.0006987174686804583,0.00491821676776798,-0.00045383618094843917
10.0,10.0,-0.06019833830804848,-0.008032684161520308,0.020940260625929918,-0.0002519519454450626,0.004078138355608092,-0.0002766835573383156
10.0,15.0,-0.0654620074424697,-0.017202287470172346,0.027008801832836094,-0.0008919450892226673,0.005450282806976932,0.00010536821894391638
10.0,20.0,-0.0655428690285546,-0.024820165100480587,0.04284948704288527,-0.0014057346529216792,0.0059687679113131,0.0004758765063141709
10.0,25.0,-0.07336404564067056,-0.028701022709216997,0.0399239519968129,-0.0016914528855437286,0.009065333137754957,0.001070359144050196
20.0,-30.0,-0.0515208481250735,0.04559223862467479,0.022009179908773605,0.0051081758762672866,0.0033263834878815637,-0.0013360783741584422
20.0,-20.0,-0.05115633379364974,0.0452633421529136,0.016421454269705323,0.007307754560558521,0.002267641260420121,-0.0006060710348984371
20.0,-10.0,-0.0584513840704948,0.031892124064047324,0.02570942677265611,0.00641773988876159,0.0035083911772357556,-0.0008415501245751131
20.0,-5.0,-0.05496382953670345,0.023854975900873134,0.04698961006236723,0.005633135714878361,0.002446138687761293,-0.0006148293880768153
20.0,-0.0,-0.06059300375501828,0.0,0.04818077743243671,0.0,0.0039209657185809025,0.0
20.0,5.0,-0.05496382953670345,-0.023854975900873134,0.04698961006236723,-0.005633135714878361,0.002446138687761293,0.0006148293880768153
20.0,10.0,-0.0584513840704948,-0.031892124064047324,0.02570942677265611,-0.00641773988876159,0.0035083911772357556,0.0008415501245751131
20.0,20.0,-0.05115633379364974,-0.0452633421529136,0.016421454269705323,-0.007307754560558521,0.002267641260420121,0.0006060710348984371
20.0,30.0,-0.0515208481250735,-0.04559223862467479,0.022009179908773605,-0.0051081758762672866,0.0033263834878815637,0.0013360783741584422
26.0,-30.0,-0.08246303969825365,0.028805150260546027,0.02084493128179492,0.0004426903509549098,0.011093353623846142,-0.004031822581689777
26.0,-20.0,-0.08615217171879873,0.024698170024433908,0.04436961174038119,0.0018314586563997625,0.011060465549376878,-0.0019458042436263053
26.0,-10.0,-0.06693912648354947,-0.0033588633819936877,0.022692731187472285,-0.0026347288113945967,0.005344146644092126,-0.0003074674716716583
26.0,-0.0,-0.0560291464470096,0.0,0.02007819052196956,0.0,0.0021961256146014654,0.0
26.0,10.0,-0.06693912648354947,0.0033588633819936877,0.022692731187472285,0.0026347288113945967,0.005344146644092126,0.0003074674716716583
26.0,20.0,-0.08615217171879873,-0.024698170024433908,0.04436961174038119,-0.0018314586563997625,0.011060465549376878,0.0019458042436263053
26.0,30.0,-0.08246303969825365,-0.028805150260546027,0.02084493128179492,-0.0004426903509549098,0.011093353623846142,0.004031822581689777
